"categoria_ecommerce_n1","categoria_ecommerce_n2","codigo_ean","id_produto","produto","classificacao_atual","tipoIntegracao","ativo","qtd_produto","emb","sugestao_publicacao"
"Adega","Brancos","205","9891","CACHACA DONA BELA GF 670ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","242035150","25221","CHABLIS CUVEE SPECIALE 1923 LA CHABLISIENNE GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7896053801274","8235","KIT TEQUILA + TACA DE MARGARITA JOSE CUERVO GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7891050004208","9837","RUN MONTILA CARTA OURO 1L GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","744607003414","9839","TEQUILA EL JIMADOR BLANCO 750 ML GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","41","7149","VINHO  MERLOT CRENACHE LA BAUNE GF 187ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","747","13788","VINHO  MERLOT MONTENEGRO GF un","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","5604242003291","8362","VINHO  QUINTA DO PORTAL GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7804606601479","8990","VINHO  RESERVA PINOT NOIR CAMINO DEL VINO GF 375ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7804603661452","8819","VINHO  RESERVA ROSE CHOCALAN GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","8410261400006","9484","VINHO  TEMPRANILHO 2016 DON LUCIANO GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","8436014252371","8714","VINHO  VEGA SICILIA ALION GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","8410113003188","8271","VINHO  VINA BRAVA TORRES GF 187ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","5600816900409","13376","VINHO 1808 RESERVA CASCAS WINES GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7798161181036","13370","VINHO 1853 RESERVA MALBEC KAUZO GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","8410866430477","14536","VINHO 1860 TEMPRANILHO RISCAL GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7798187447901","22431","VINHO 225E MALBEC CARINA GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","47","7344","VINHO ABEL PINCHARD  COTES DU RHONE GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7898413360032","8497","VINHO AGNVS CABERNET SAUVGNON LIDIO CARRARO GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7798128520106","7697","VINHO AGUARIBAY MALBEC BARON EDMOND DE ROTHSCHILD GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7898629640102","8785","VINHO ALVARINHO VIVALTI GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | NACIONAIS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7898954499154","8783","VINHO AMI SAUVIGNON BLANC ABREU GARCIA GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7804606602469","22437","VINHO APALTAGUA RESERVA ESPECIAL PINOT NOIR GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7798161181746","18286","VINHO ARGENTINO WINEMAKER MARCELO PELLERITI GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
"Adega","Brancos","7791843010037","9793","VINHO BONARDA PUNTO MAXIMO GF 750ml","03-BEBIDAS | 01-ADEGA > 01-BRANCOS | IMPORTADOS","ESTOQUE","True","0","UN","PUBLICAR_QUANDO_HOUVER_ESTOQUE"
